absence	NN
absorption	NN
acceleration	NN
acceptance	NN
accessory	NN
accident	NN
active	JJ
address	NN
adjacent	JJ
adventure	NN
advice	NN
age	NN
agent	NN
agency	NN
ago	RB
allowance	NN
along	RB
also	RB
alternative	NN
always	RB
ambition	NN
amplitude	NN
anchor	NN
ankle	NN
appendage	NN
application	NN
approximation	NN
arbitration	NN
arbitrary	JJ
arc	NN
area	NN
arrangement	NN
ash	JJ
asset	NN
assistant	NN
average	NN
awkward	JJ
axis	NN
balcony	NN
bale	NN
bankrupt	JJ
bark	NN
barrel	NN
beak	NN
beaker	NN
beard	NN
beat	NN
behind	RB
belt	NN
bet	NN
bill	NN
birefringence	NN
blame	NN
blanket	NN
both	DT
bottom	NN
brave	VB
break	NN
breakfast	NN
breast	NN
broker	NN
bubble	NN
bud	NN
budget	NN
buoyancy	NN
bunch	NN
burial	NN
busy	JJ
calculation	NN
call	NN
capacity	NN
capital	NN
carpet	NN
cartilage	NN
case	NN
cast	NN
cave	NN
cavity	NN
cell	NN
ceremony	NN
certificate	NN
chair	NN
character	NN
charge	NN
child	NN
chimney	NN
china	NN
choice	NN
circulation	NN
circuit	NN
circumference	NN
civilization	NN
clay	NN
claim	NN
claw	VB
cleavage	NN
clever	JJ
client	NN
climber	NN
clip	NN
code	NN
coil	NN
collision	NN
collection	NN
column	NN
combination	NN
combine	VB
communications	NNS
complaint	NN
component	NN
compound	NN
concept	NN
concrete	NN
conductor	NN
congruent	JJ
conservation	NN
consignment	NN
constant	JJ
consumer	NN
continuous	JJ
contour	NN
convenient	JJ
conversion	NN
cool	NN
corner	NN
correlation	NN
corrosion	NN
cost	NN
court	NN
creeper	NN
crop	NN
cross	NN
cunning	JJ
cusp	NN
customs	NNS
damping	VBG
date	NN
debit	NN
deck	NN
decrease	NN
defect	NN
deficiency	NN
deflation	NN
degenerate	NN
delivery	NN
demand	NN
denominator	NN
department	NN
desert	NN
density	NN
deposit	NN
determining	VBG
dew	NN
diameter	NN
difference	NN
difficulty	NN
drift	NN
dike	NN
dilution	NN
dinner	NN
dip	NN
direct	JJ
disappearance	NN
discharge	NN
discount	NN
disgrace	NN
dislike	NN
dissipation	NN
disturbance	NN
ditch	NN
dive	NN
divisor	NN
divorce	NN
doll	NN
domesticating	VBG
dreadful	JJ
dream	NN
duct	NN
dull	JJ
duty	NN
each	DT
easy	RB
economy	NN
efficiency	NN
effort	NN
either	RB
elimination	NN
employer	NN
empty	JJ
enemy	NN
envelope	NN
environment	NN
envy	NN
equation	NN
erosion	NN
eruption	NN
evaporation	NN
evening	NN
exact	JJ
excitement	NN
experiment	NN
exercise	NN
explanation	NN
explosion	NN
export	NN
expression	NN
extinction	NN
eyebrow	NN
eyelash	NN
factor	NN
failure	NN
fair	JJ
famous	JJ
fan	NN
fastening	VBG
fatigue	NN
fault	NN
ferment	NN
fertilizing	VBG
fever	NN
fiber	NN
figure	NN
fin	NN
financial	JJ
flash	NN
flask	NN
flesh	NN
flood	NN
flour	NN
focus	NN
forecast	NN
forehead	NN
foreign	JJ
forgiveness	NN
fraction	NN
fracture	NN
fresh	JJ
friction	NN
flint	NN
flow	NN
foliation	NN
frost	NN
frozen	VBN
fume	NN
funnel	VB
funny	JJ
fur	NN
furnace	NN
furniture	NN
fusion	NN
gate	NN
generation	NN
germ	NN
germinating	VBG
gill	NN
glacier	NN
gland	NN
god	NN
grand	JJ
grateful	JJ
grating	VBG
gravel	NN
grease	NN
grief	NN
grocery	NN
groove	NN
gross	JJ
ground	NN
guard	NN
guarantee	NN
guess	NN
gum	NN
habit	NN
handkerchief	NN
handle	VB
heavy	JJ
hedge	NN
hill	NN
hinge	NN
hire	NN
hold	NN
holiday	NN
home	NN
honest	JJ
honey	NN
hoof	NN
host	NN
human	JJ
hunt	NN
hurry	NN
hurt	NN
husband	NN
igneous	JJ
image	NN
imagination	NN
import	NN
impurity	NN
inclusion	NN
index	NN
individual	NN
inflation	NN
infinity	NN
inheritance	NN
innocent	JJ
institution	NN
insulator	NN
integer	NN
intelligent	JJ
intercept	VB
interpretation	NN
intersection	NN
intrusion	NN
investigation	NN
investment	NN
inverse	JJ
invitation	NN
jam	NN
jaw	NN
jealous	JJ
jerk	NN
joint	NN
jug	NN
juice	NN
jury	NN
justice	NN
kennel	NN
kidney	NN
kitchen	NN
knock	VB
lace	NN
lag	NN
lake	NN
lamb	NN
lamp	NN
large	JJ
latitude	NN
lawyer	NN
layer	NN
lazy	JJ
lecture	NN
legal	JJ
length	NN
lens	NN
lesson	NN
lever	NN
liability	NN
license	NN
lid	NN
life	NN
lime	NN
limestone	NN
link	NN
liver	NN
load	NN
local	JJ
loan	NN
locus	NN
loop	NN
longitude	NN
luck	NN
lump	NN
lunch	NN
lung	NN
magic	NN
magnitude	NN
manner	NN
many	JJ
marble	NN
margin	NN
marriage	NN
mast	NN
mattress	NN
maturemean	NN
meaning	NN
medicine	NN
medium	NN
melt	VB
member	NN
mess	NN
message	NN
metabolism	NN
mill	NN
mineral	NN
mixture	NN
model	NN
modern	JJ
modest	JJ
momentum	NN
monopoly	NN
mood	NN
moral	JJ
moustache	NN
mud	NN
multiple	JJ
multiplication	NN
murder	NN
nasty	JJ
nature	NN
navy	NN
neat	JJ
neglect	NN
neighbor	NN
nest	NN
next	RB
nice	JJ
node	NN
nostril	NN
nucleus	NN
numerator	NN
nurse	NN
obedient	JJ
oblique	JJ
officer	NN
orchestra	NN
ore	NN
organ	NN
origin	NN
outcrop	NN
outlier	NN
overlap	VB
oval	NN
own	JJ
oxidation	NN
packing	NN
pad	NN
pair	NN
pan	NN
paragraph	NN
parent	NN
particle	NN
partner	NN
party	NN
passage	NN
path	NN
patience	NN
pedal	NN
pendulum	NN
pension	NN
people	NNS
perfect	JJ
petal	NN
piston	NN
plain	RB
plan	NN
plaster	NN
plug	NN
poetry	NN
pollen	NN
pool	NN
population	NN
porcelain	NN
practice	NN
praise	NN
prayer	NN
pressure	NN
prick	NN
priest	NN
prime	JJ
probability	NN
product	NN
progress	NN
projectile	NN
projection	NN
promise	NN
proof	NN
proud	NN
pulley	NN
pupil	NN
purchase	NN
pure	JJ
quantity	NN
quotient	NN
race	NN
radiation	NN
ratio	NN
reagent	NN
real	RB
receiver	NN
reciprocal	JJ
rectangle	NN
recurring	VBG
reference	NN
reflux	NN
reinforcement	NN
relative	JJ
remark	NN
remedy	NN
rent	NN
repair	NN
reproduction	NN
repulsion	NN
resistance	NN
residue	NN
resolution	NN
result	NN
retail	NN
revenge	NN
reversible	JJ
rich	JJ
rigidity	NN
rise	NN
rival	NN
rock	NN
rot	NN
rotation	NN
rude	JJ
rust	NN
sac	NN
sale	NN
sample	NN
satisfaction	NN
saturated	VBN
saucer	NN
saving	VBG
scale	NN
scarp	NN
schist	NN
scratch	NN
screen	NN
seal	NN
search	NN
security	NN
secretion	NN
section	NN
sedimentary	JJ
selfish	JJ
sensitivity	NN
sentence	NN
sepal	NN
service	NN
set	VBN
shadow	NN
shale	NN
share	NN
shave	VB
shear	NN
sheet	NN
shell	NN
shore	NN
shoulder	NN
show	NN
sight	NN
sill	NN
similarity	NN
since	IN
skull	NN
slate	NN
sleeve	NN
slide	NN
social	JJ
soil	NN
soldier	NN
solution	NN
solvent	JJ
sorry	RB
spark	VB
specialization	NN
specimen	NN
speculation	NN
spirit	NN
spit	NN
splash	NN
spot	NN
stable	JJ
stain	VB
stair	NN
stalk	NN
stamen	NN
statistics	NNS
steady	RB
stimulus	NN
storm	NN
strain	NN
straw	NN
stream	NN
strength	NN
stress	NN
strike	NN
string	NN
study	NN
subject	NN
substitution	NN
subtraction	NN
success	NN
successive	JJ
sucker	NN
sum	NN
supply	NN
surface	NN
surgeon	NN
suspension	NN
suspicious	JJ
swelling	VBG
swing	NN
switch	NN
sympathetic	JJ
tailor	NN
tame	JJ
tap	NN
tear	VB
tent	NN
term	NN
texture	NN
thickness	NN
thief	NN
thimble	NN
thorax	NN
threat	NN
thrust	NN
tide	NN
tie	NN
tissue	NN
tongs	NNS
too	RB
total	NN
towel	NN
tower	NN
traffic	NN
tragedy	NN
transmission	NN
transparent	JJ
trap	NN
travel	NN
treatment	NN
triangle	NN
truck	NN
tube	NN
tune	NN
tunnel	NN
twin	NN
typist	NN
ugly	JJ
unconformity	NN
understanding	NN
universe	NN
unknown	JJ
valency	NN
valley	NN
valve	NN
vapor	NN
variable	JJ
vascular	JJ
vegetable	NN
velocity	NN
vestigial	JJ
victim	NN
victory	NN
volume	NN
vortex	NN
vote	NN
weak	JJ
wedge	NN
welcome	JJ
whether	IN
wholesale	JJ
widow	NN
wife	NN
wild	JJ
world	NN
wreck	NN
wrist	NN
yawn	NN
